instance,nodes,avg_baseline_makespan,avg_hybrid_makespan,avg_improvement_percent,avg_baseline_runtime,avg_hybrid_runtime
singlecenter-1-n5,5,161.7837912856009,161.7837912856009,0.0,0.010392189025878906,0.05650782585144043
singlecenter-51-n10,10,340.0475645568281,331.73125361852067,2.4456316718944238,0.03409719467163086,0.2395339012145996
singlecenter-61-n20,20,501.0988374239235,458.6664259284036,8.467872668326027,0.12531781196594238,1.3413481712341309
singlecenter-71-n50,50,436.2777565526641,368.5781513436114,15.517546836216138,0.8086531162261963,8.054794073104858
